"component_type","component_name","component_link","Manufacturer","Part_#_#"
"","ASIAHORSE 18AWG PSU Cable Extension Sleeved Custom Power Supply Braided with Combs kit for ATX CPU GPU Modular Power Supply Unit /1x24P/1x8P (4+4) CPU/2x8 P(6+2) GPU/30CM 11.8Inch (Black)","https://pcpartpicker.com/product/8ZhmP6/placeholder-","AsiaHorse","B08HLYM54P"
"","ASIAHORSE 18AWG PSU Cable Extension Sleeved Custom Power Supply Braided with Combs kit for ATX CPU GPU Modular Power Supply Unit /1x24P/1x8P (4+4) CPU/2x8 P(6+2) GPU/30CM 11.8Inch (Black)","https://pcpartpicker.com/product/8ZhmP6/placeholder-","AsiaHorse","B08HLYM54P"
"","Aluminum Mini ITX Case with PCI 4.0 Riser, JOYJOM Mini PC Case, SFF Small Form Factor PC Case, TX Computer Gaming Case Supports GPU Graphics Card and Flex Power Supply (Black)","https://pcpartpicker.com/product/8vwypg/placeholder","JOYJOM","B0BLXY7S4Y"
"","SilverStone SST-SF160B-ARGB Shark Force Performance 160mm ARGB Case Fan","https://pcpartpicker.com/product/mr4Zxr/placeholder","Silverstone","SST-SF160B-ARGB"
"","NZXT F360 RGB Core - 360mm Single-Frame Fan Unit with 3 x 120mm RGB Fans - Speed & Lighting Control - High Static Pressure & Airflow - Fluid Dynamic Bearings - 8 aRGB LEDs Per Fan - Black","https://pcpartpicker.com/product/fxpQzy/placeholder","NZXT","RF-U36HF-B1"
"","ASIAHORSE 18AWG PSU Cable Extension Sleeved Custom Power Supply Braided with Combs kit for ATX CPU GPU Modular Power Supply Unit /1x24P/1x8P (4+4) CPU/2x8 P(6+2) GPU/30CM 11.8Inch (Black)","https://pcpartpicker.com/product/8ZhmP6/placeholder-","AsiaHorse","B08HLYM54P"
"","ASIAHORSE 18AWG PSU Cable Extension Sleeved Custom Power Supply Braided with Combs kit for ATX CPU GPU Modular Power Supply Unit /1x24P/1x8P (4+4) CPU/2x8 P(6+2) GPU/30CM 11.8Inch (Black)","https://pcpartpicker.com/product/8ZhmP6/placeholder-","AsiaHorse","B08HLYM54P"
"","ASIAHORSE 18AWG PSU Cable Extension Sleeved Custom Power Supply Braided with Combs kit for ATX CPU GPU Modular Power Supply Unit /1x24P/1x8P (4+4) CPU/2x8 P(6+2) GPU/30CM 11.8Inch (Black)","https://pcpartpicker.com/product/8ZhmP6/placeholder-","AsiaHorse","B08HLYM54P"
"","ASIAHORSE 18AWG PSU Cable Extension Sleeved Custom Power Supply Braided with Combs kit for ATX CPU GPU Modular Power Supply Unit /1x24P/1x8P (4+4) CPU/2x8 P(6+2) GPU/30CM 11.8Inch (Black)","https://pcpartpicker.com/product/8ZhmP6/placeholder-","AsiaHorse","B08HLYM54P"
"","Aquacomputer Farbwerk 360 (53279)","https://pcpartpicker.com/product/4qYLrH/aquacomputer-farbwerk-360-53279","Aquacomputer","53279"
