component_name,component_link,Capacity,Form_Factor,Full_Disk_Write_Throughput,Full_Disk_Write_Throughput_Lowest_10_Seconds,Interface,Manufacturer,NVME,Part__,Price_GB,Random_Read_Throughput_QD1,Random_Read_Throughput_QD32,Random_Write_Throughput_QD1,Random_Write_Throughput_QD32,SSD_NAND_Flash_Type,Sequential_Read_Throughput_QD1,Sequential_Read_Throughput_QD4,Sequential_Write_Throughput_QD1,Sequential_Write_Throughput_QD4,Type
Adata Xpg Sx6000 256 Gb M.2-2280 Pcie 3.0 X2 Nvme Ssd,https://pcpartpicker.com/product/2JVD4D/adata-xpg-sx6000-256gb-m2-2280-solid-state-drive-asx6000np-256gt-c,256,M.2 2280,,,PCIe 3.0 x2,Adata,TRUE,ASX6000NP-256GT-C,,,,,,,,,,,SSD
Crucial T500 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/GfRwrH/crucial-t500-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct1000t500ssd8,1000,M.2 2280,,,PCIe 4.0 x4,Crucial,TRUE,CT1000T500SSD8,0.084,,,,,,,,,,SSD
Adata Swordfish 500 Gb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/sXqBD3/adata-swordfish-500-gb-m2-2280-nvme-solid-state-drive-aswordfish-500g-c,500,M.2 2280,,,PCIe 3.0 x4,Adata,TRUE,ASWORDFISH-500G-C,,,,,,,,,,,SSD
Crucial T700 1 Tb M.2-2280 Pcie 5.0 X4 Nvme Ssd,https://pcpartpicker.com/product/mVwmP6/crucial-t700-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct1000t700ssd3,1000,M.2 2280,,,PCIe 5.0 x4,Crucial,TRUE,CT1000T700SSD3,0.14,,,,,,,,,,SSD
Patriot P400 Lite 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/hkmNnQ/patriot-p400-lite-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-p400lp2kgm28h,2000,M.2 2280,,,PCIe 4.0 x4,Patriot,TRUE,P400LP2KGM28H,0.051,,,,,,,,,,SSD
Sabrent Rocket 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/N7zkcf/sabrent-1-tb-m2-2280-solid-state-drive-sb-rocket-1tb,1000,M.2 2280,,,PCIe 3.0 x4,Sabrent,TRUE,SB-ROCKET-1TB,,,,,,,,,,,SSD
"Western Digital Blue 1 Tb 2.5"" Ssd",https://pcpartpicker.com/product/GTCD4D/western-digital-blue-1tb-25-solid-state-drive-wds100t2b0a,1000,"2.5""",,,SATA 6.0 Gb/s,Western Digital,FALSE,WDS100T2B0A,0.141,,,,,,,,,,SSD
Kingston Fury Renegade 500 Gb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/Kdt9TW/kingston-fury-renegade-500-gb-m2-2280-nvme-solid-state-drive-sfyrs500g,500,M.2 2280,,,PCIe 4.0 x4,Kingston,TRUE,SFYRS/500G,0.126,,,,,,,,,,SSD
Crucial P3 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/sw4Ycf/crucial-p3-1-tb-m2-2280-nvme-solid-state-drive-ct1000p3ssd8,1000,M.2 2280,,,PCIe 3.0 x4,Crucial,TRUE,CT1000P3SSD8,0.067,,,,,,,,,,SSD
"Sandisk Ssd Plus 120 Gb 2.5"" Ssd",https://pcpartpicker.com/product/m34NnQ/sandisk-ssd-plus-120gb-25-solid-state-drive-sdssda-120g-g26,120,"2.5""",,,SATA 6.0 Gb/s,Sandisk,FALSE,SDSSDA-120G-G26,0.529,,,,,,,,,,SSD
